,Id,Choice,Difficulty,Relevance,
0,0.0,Confidentialite (against Confort),0.0,0.0,
1,0.0,Equité (against Ecologie),0.0,0.0,
2,0.0,Equité (against Confort),0.0,0.0,
3,0.0,Confidentialite (against Equité),0.0,0.0,
4,0.0,Ecologie (against Confort),0.0,0.0,
5,0.0,Confidentialite (against Ecologie),0.0,0.0,
6,0.0,Securityofsupply (against Ecologie),0.0,0.0,
7,0.0,Affordability (against Confidentialite),0.0,0.0,
8,0.0,Autonomy (against Equité),0.0,0.0,
9,0.0,Securityofsupply (against Confort),0.0,0.0,
10,0.0,Confort (against Affordability),0.0,0.0,
11,0.0,Autonomy (against Ecologie),0.0,0.0,
12,0.0,Securityofsupply (against Confidentialite),0.0,0.0,
13,0.0,Affordability (against Ecologie),0.0,0.0,
14,0.0,Autonomy (against Confidentialite),0.0,0.0,
15,0.0,Securityofsupply (against Equité),0.0,0.0,
16,0.0,Equité (against Affordability),0.0,0.0,
17,0.0,Autonomy (against Confort),0.0,0.0,
18,0.0,Securityofsupply (against Autonomy),0.0,0.0,
19,0.0,Affordability (against Autonomy),0.0,0.0,
20,0.0,Affordability (against Securityofsupply),0.0,0.0,
